image_name,predicted_score
Pseudobalistes_flavimarginatus_A_2.png,1433.3219
Parapercis_colias_F_2.png,1359.4606
Cephalopholis_argus_J_1.png,1280.1321
Parapristipoma_trilineatum_A_1.png,1391.4077
Halichoeres_marginatus_M_1.png,1829.771
Scolopsis_xenochrous_A_1.png,1352.3895
Scarus_ghobban_M_1.png,1658.5898
Cephalopholis_leopardus_A_1.png,1526.1416
Chrysiptera_starcki_A_2.png,1646.0945
Aluterus_scriptus_A_1.png,1526.1521
Oxycirrhites_typus_A_3.png,1607.4973
Genicanthus_lamarck_J_1.png,1554.5918
Macropharyngodon_geoffroy_J_2.png,1559.5494
Pomacentrus_nagasakiensis_A_2.png,1622.9854
Tautoga_onitis_A_2.png,1243.6094
Rhomboplites_aurorubens_A_2.png,1280.0205
Diploprion_bifasciatum_A_3.png,1539.1565
Dermatolepis_dermatolepis_A_1.png,1485.4675
Stereolepis_gigas_A_1.png,1153.5688
Amphiprion_latezonatus_A_1.png,1622.3562
Acanthemblemaria_atrata_A_1.png,1215.0404
Halichoeres_orientalis_F_1.png,1634.2566
Dascyllus_trimaculatus_56.png,1231.2594
Abudefduf_troschelii_A_1.png,1477.6965
Eviota_raja_A_3.png,1485.2277
Pomacanthus_navarchus_A_2.png,1810.7964
Gerres_subfasciatus_A_2.png,1123.6084
Canthigaster_rivulata_A_1.png,1616.8597
Ecsenius_stictus_A_2.png,1378.3203
Dermatolepis_dermatolepis_J_1.png,1692.9421
Pomacentrus_simsiang_J_1.png,1683.1082
Acanthistius_ocellatus_A_2.png,1442.0612
Parupeneus_multifasciatus_A_1.png,1478.488
Hemitaurichthys_zoster_A_1.png,1580.5159
Dendrochirus_zebra_A_1.png,1791.0413
Chaetodontoplus_meredithi_A_1.png,1614.5938
Amblyglyphidodon_indicus_J_1.png,1525.3604
Inimicus_caledonicus_A_1.png,1338.2156
Aphareus_rutilans_A_2.png,1240.857
Diplodus_puntazzo_A_3.png,1219.6917
Hypoplectrus_puella_A_2.png,1442.1184
Halichoeres_discolor_A_2.png,1485.968
Myripristis_clarionensis_A_1.png,1306.6387
Pomacanthus_arcuatus_J_1.png,1653.6323
Gnatholepis_thompsoni_A_2.png,1347.4122
Malacanthus_latovittatus_J_2.png,1504.4543
Scarus_rubroviolaceus_A_1.png,1271.3846
Naso_brachycentron_F_1.png,1217.0264
Cheilinus_undulatus_A_1.png,1501.9613
Enophrys_diceraus_A_1.png,1313.6394
Cheilinus_fasciatus_A_2.png,1543.3568
Cephalopholis_boenak_J_1.png,1207.9362
Symphodus_tinca_F_2.png,1371.431
Macropharyngodon_kuiteri_A_1.png,1554.8744
Amphiprion_chrysopterus_A_2.png,1766.2021
Acanthistius_patachonicus_A_2.png,1283.729
Amblyglyphidodon_curacao_A_2.png,1353.3618
Macropharyngodon_negrosensis_F_1.png,1554.3853
Pomacentrus_brachialis_A_2.png,1439.4951
Dotalabrus_aurantiacus_J_1.png,1299.7355
Pomacanthus_zonipectus_A_1.png,1630.0396
Sebastes_maliger_A_1.png,1474.3467
Axoclinus_multicinctus_A_1.png,1384.5591
Gasterosteus_aculeatus_M_1.png,1196.8427
Chromis_atripes_A_2.png,1404.3838
Notolabrus_gymnogenis_M_1.png,1491.7212
Opisthocentrus_ocellatus_A_1.png,1412.7593
Halichoeres_garnoti_F_1.png,1366.2141
Dascyllus_melanurus_A_1.png,1679.207
Forsterygion_lapillum_F_1.png,1284.4993
Glaucosoma_hebraicum_J_1.png,1549.5139
Stegastes_gascoynei_A_1.png,1330.8452
Gymnothorax_favagineus_A_2.png,1497.2705
Selar_boops_A_2.png,1157.4229
Petroscirtes_mitratus_A_1.png,1304.9824
Chaetodon_falcula_34.png,1588.9524
Stichaeus_punctatus_punctatus_A_3.png,1303.4485
Halichoeres_pictus_M_1.png,1544.9033
Ostracion_meleagris_A_1.png,1765.7137
Ctenochaetus_flavicauda_A_2.png,1531.9475
Dascyllus_trimaculatus_A_1.png,1659.9348
Gymnocanthus_tricuspis_A_1.png,1436.3334
Scomberomorus_maculatus_A_1.png,1208.2852
Chrysoblephus_laticeps_J_1.png,1267.2103
Amphiprion_leucokranos_A_1.png,1537.5615
Pseudanthias_taeniatus_F_1.png,1542.8333
Abudefduf_saxatilis_J_1.png,1397.1322
Synchiropus_bartelsi_A_1.png,1425.7327
Carangoides_ferdau_A_1.png,1169.9818
Siphonognathus_caninis_M_1.png,1460.426
Scolopsis_monogramma_A_1.png,1389.0958
Clinus_venustris_A_5.png,1401.7454
Meuschenia_trachylepis_A_2.png,1474.2784
Stegastes_pictus_A_2.png,1516.1829
Bathygobius_lineatus_A_1.png,1388.5334
Odontoscion_xanthops_A_2.png,1291.4707
Assessor_macneilli_A_1.png,1633.4379
Scolopsis_lineata_A_1.png,1356.1415
Cypho_zaps_F_1.png,1442.7214
Fusigobius_signipinnis_A_2.png,1375.8997
Scorpaena_papillosa_A_4.png,1321.0569
Parma_victoriae_A_2.png,1467.6724
Gobius_paganellus_A_4.png,1382.9285
Parupeneus_forsskali_A_2.png,1401.9797
Chironemus_marmoratus_A_2.png,1319.794
Sphyraena_obtusata_J_1.png,1185.6936
Neoniphon_argenteus_A_1.png,1268.8978
Halichoeres_solorensis_M_1.png,1421.5404
Pygoplites_diacanthus_J_3.png,1919.6116
Amblygobius_nocturnus_A_1.png,1205.0857
Petroscirtes_breviceps_A_1.png,1438.3528
Priacanthus_blochii_A_1.png,1303.9917
Pseudanthias_evansi_A_1.png,1525.4423
Chaetodon_trifasciatus_A_1.png,1787.098
Scarus_chameleon_M_1.png,1689.2695
Sparisoma_viride_J_2.png,1385.9453
Symphodus_ocellatus_F_1.png,1336.4539
Labrus_merula_F_1.png,1263.1637
Acanthurus_lineatus_6.png,1746.6885
Pomacentrus_cuneatus_A_1.png,1519.4326
Halichoeres_miniatus_F_2.png,1442.1604
Pomacentrus_reidi_A_3.png,1408.126
Halichoeres_garnoti_J_1.png,1491.8525
Scomberoides_lysan_A_1.png,1196.3506
Cypho_purpurascens_F_1.png,1497.2451
Acanthurus_tristis_176.png,1324.1377
